name
Padi - Oryza sativa
Cabai - Capsicum frutescens (Bara)
Kedelai Hitam - Glycine soja (Merrit)
Wortel - Daucus carota
Tembakau - Nicotiana tabacum
Kedelai - Glycine max
Ubi Merah - Ipomoea batatas
Kedelai - Glycine max
Cabai Merah - Capsicum annuum
Kentang - Solanum tuberosum (Granola)
Gandum - Triticum aestivum (Dewata)
Kedelai - Glycine max (Dering 1)
Kacang Tanah - Arachis hypogaea
Kedelai - Glycine max (Grobogan)
Lada - Piper nigrum
Jamur Tiram - Plaerotus ostreatus
Bawang Merah - Allium ascalonicum
Gandum - Triticum aestivum (Dewata)
Gandum - Triticum aestivum (Nias)
Gandum - Triticum aestivum (Selayar)
Porang - Amorphophallus muelleri
Kecipir - Psophocarpus tetragonolobus
Cabai Rawit - Capsicum frutescens
Kedelai - Glycine max (Toleran Kekeringan)
Padi - Oryza sativa (Malaysian Rice)
Pisang - Musa acuminata (Kepok)
Som Jawa - Talinum paniculatum
Padi - Oryza sativa (Lokal Ende)
